Time, PositionX, PositionY, PositionZ, PositionRX, PositionRY, PositionRZ, PositionJ1, PositionJ2, PositionJ3, PositionJ4, PositionJ5, PositionJ6
2024-11-07 16:40:16.998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:17.504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:18.012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:18.526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:19.031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:19.551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:20.057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:20.570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:21.080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:21.597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:22.102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:22.622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:23.119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:23.634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:24.151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:24.656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:25.166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:25.686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:26.194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:26.705, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:27.216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:27.728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:28.243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:28.745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:29.262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-11-07 16:40:29.773, -92.98, -274.2, 297.29, -8, -173.14, 19.03, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:40:30.283, -92.98, -274.19, 297.3, -8, -173.13, 19.04, 42.82, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:40:30.794, -92.98, -274.19, 297.28, -8.01, -173.14, 19.03, 42.82, -104.81, 110, -108.24, -85.08, -41.49
2024-11-07 16:40:31.306, -92.98, -274.2, 297.29, -8, -173.13, 19.03, 42.83, -104.81, 110, -108.24, -85.08, -41.49
2024-11-07 16:40:31.818, -92.97, -274.2, 297.28, -8, -173.14, 19.03, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:40:32.323, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:40:32.835, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:40:33.348, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:40:33.851, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:40:34.362, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:40:34.875, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
